Date,Product,Location,Units_Sold
2024-03-18,Cereal,Store A,115
2024-03-19,Cereal,Store A,109
2024-03-20,Cereal,Store A,108
2024-03-21,Cereal,Store A,112
2024-03-22,Cereal,Store A,115
2024-03-23,Cereal,Store A,111
2024-03-24,Cereal,Store A,111
2024-03-25,Cereal,Store A,116
2024-03-26,Cereal,Store A,110
2024-03-27,Cereal,Store A,107
2024-03-28,Cereal,Store A,112
2024-03-29,Cereal,Store A,107
2024-03-30,Cereal,Store A,107
2024-03-31,Cereal,Store A,115
2024-04-01,Cereal,Store A,107
2024-04-02,Cereal,Store A,96
2024-04-03,Cereal,Store A,111
2024-04-04,Cereal,Store A,107
2024-04-05,Cereal,Store A,108
2024-04-06,Cereal,Store A,112
2024-04-07,Cereal,Store A,109
2024-04-08,Cereal,Store A,111
2024-04-09,Cereal,Store A,100
2024-04-10,Cereal,Store A,106
2024-04-11,Cereal,Store A,118
2024-04-12,Cereal,Store A,111
2024-04-13,Cereal,Store A,104
2024-04-14,Cereal,Store A,107
2024-04-15,Cereal,Store A,108
2024-04-16,Cereal,Store A,114
2024-04-17,Cereal,Store A,112
2024-04-18,Cereal,Store A,111
2024-04-19,Cereal,Store A,115
2024-04-20,Cereal,Store A,118
2024-04-21,Cereal,Store A,115
2024-04-22,Cereal,Store A,114
2024-04-23,Cereal,Store A,115
2024-04-24,Cereal,Store A,120
2024-04-25,Cereal,Store A,119
2024-04-26,Cereal,Store A,123
2024-04-27,Cereal,Store A,114
2024-04-28,Cereal,Store A,117
2024-04-29,Cereal,Store A,125
2024-04-30,Cereal,Store A,118
2024-05-01,Cereal,Store A,130
2024-05-02,Cereal,Store A,130
2024-05-03,Cereal,Store A,131
2024-05-04,Cereal,Store A,120
2024-05-05,Cereal,Store A,126
2024-05-06,Cereal,Store A,123
2024-05-07,Cereal,Store A,131
2024-05-08,Cereal,Store A,136
2024-05-09,Cereal,Store A,132
2024-05-10,Cereal,Store A,128
2024-05-11,Cereal,Store A,127
2024-05-12,Cereal,Store A,133
2024-05-13,Cereal,Store A,124
2024-05-14,Cereal,Store A,133
2024-05-15,Cereal,Store A,126
2024-05-16,Cereal,Store A,134
2024-05-17,Cereal,Store A,131
2024-05-18,Cereal,Store A,130
2024-05-19,Cereal,Store A,128
2024-05-20,Cereal,Store A,131
2024-05-21,Cereal,Store A,136
2024-05-22,Cereal,Store A,139
2024-05-23,Cereal,Store A,136
2024-05-24,Cereal,Store A,141
2024-05-25,Cereal,Store A,147
2024-05-26,Cereal,Store A,133
2024-05-27,Cereal,Store A,133
2024-05-28,Cereal,Store A,127
2024-05-29,Cereal,Store A,140
2024-05-30,Cereal,Store A,141
2024-05-31,Cereal,Store A,130
2024-06-01,Cereal,Store A,137
2024-06-02,Cereal,Store A,140
2024-06-03,Cereal,Store A,135
2024-06-04,Cereal,Store A,138
2024-06-05,Cereal,Store A,135
2024-06-06,Cereal,Store A,128
2024-06-07,Cereal,Store A,139
2024-06-08,Cereal,Store A,140
2024-06-09,Cereal,Store A,137
2024-06-10,Cereal,Store A,128
2024-06-11,Cereal,Store A,128
2024-06-12,Cereal,Store A,126
2024-06-13,Cereal,Store A,135
2024-06-14,Cereal,Store A,137
2024-06-15,Cereal,Store A,133
2024-06-16,Cereal,Store A,135
2024-06-17,Cereal,Store A,125
2024-06-18,Cereal,Store A,130
2024-06-19,Cereal,Store A,122
2024-06-20,Cereal,Store A,124
2024-06-21,Cereal,Store A,132
2024-06-22,Cereal,Store A,126
2024-06-23,Cereal,Store A,132
2024-06-24,Cereal,Store A,128
2024-06-25,Cereal,Store A,139
2024-06-26,Cereal,Store A,125
2024-06-27,Cereal,Store A,117
2024-06-28,Cereal,Store A,123
2024-01-01,Cereal,Store B,89
2024-01-02,Cereal,Store B,97
2024-01-03,Cereal,Store B,100
2024-01-04,Cereal,Store B,101
2024-01-05,Cereal,Store B,98
2024-01-06,Cereal,Store B,101
2024-01-07,Cereal,Store B,110
2024-01-08,Cereal,Store B,108
2024-01-09,Cereal,Store B,95
2024-01-10,Cereal,Store B,97
2024-01-11,Cereal,Store B,100
2024-01-12,Cereal,Store B,92
2024-01-13,Cereal,Store B,94
2024-01-14,Cereal,Store B,93
2024-01-15,Cereal,Store B,96
2024-01-16,Cereal,Store B,109
2024-01-17,Cereal,Store B,98
2024-01-18,Cereal,Store B,97
2024-01-19,Cereal,Store B,107
2024-01-20,Cereal,Store B,100
2024-01-21,Cereal,Store B,105
2024-01-22,Cereal,Store B,99
2024-01-23,Cereal,Store B,94
2024-01-24,Cereal,Store B,105
2024-01-25,Cereal,Store B,95
2024-01-26,Cereal,Store B,100
2024-01-27,Cereal,Store B,99
2024-01-28,Cereal,Store B,104
2024-01-29,Cereal,Store B,100
2024-01-30,Cereal,Store B,103
2024-01-31,Cereal,Store B,95
2024-02-01,Cereal,Store B,113
2024-02-02,Cereal,Store B,97
2024-02-03,Cereal,Store B,109
2024-02-04,Cereal,Store B,104
2024-02-05,Cereal,Store B,104
2024-02-06,Cereal,Store B,105
2024-02-07,Cereal,Store B,94
2024-02-08,Cereal,Store B,108
2024-02-09,Cereal,Store B,100
2024-02-10,Cereal,Store B,109
2024-02-11,Cereal,Store B,102
2024-02-12,Cereal,Store B,100
2024-02-13,Cereal,Store B,96
2024-02-14,Cereal,Store B,98
2024-02-15,Cereal,Store B,104
2024-02-16,Cereal,Store B,95
2024-02-17,Cereal,Store B,91
2024-02-18,Cereal,Store B,97
2024-02-19,Cereal,Store B,105
2024-02-20,Cereal,Store B,110
2024-02-21,Cereal,Store B,97
2024-02-22,Cereal,Store B,93
2024-02-23,Cereal,Store B,98
2024-02-24,Cereal,Store B,101
2024-02-25,Cereal,Store B,103
2024-02-26,Cereal,Store B,110
2024-02-27,Cereal,Store B,100
2024-02-28,Cereal,Store B,107
2024-02-29,Cereal,Store B,96
2024-03-01,Cereal,Store B,99
2024-03-02,Cereal,Store B,95
2024-03-03,Cereal,Store B,94
2024-03-04,Cereal,Store B,96
2024-03-05,Cereal,Store B,96
2024-03-06,Cereal,Store B,94
2024-03-07,Cereal,Store B,94
2024-03-08,Cereal,Store B,102
2024-03-09,Cereal,Store B,107
2024-03-10,Cereal,Store B,94
2024-03-11,Cereal,Store B,94
2024-03-12,Cereal,Store B,98
2024-03-13,Cereal,Store B,111
2024-03-14,Cereal,Store B,96
2024-03-15,Cereal,Store B,100
2024-03-16,Cereal,Store B,103
2024-03-17,Cereal,Store B,96
2024-03-18,Cereal,Store B,99
2024-03-19,Cereal,Store B,97
2024-03-20,Cereal,Store B,99
2024-03-21,Cereal,Store B,89
2024-03-22,Cereal,Store B,95
2024-03-23,Cereal,Store B,96
2024-03-24,Cereal,Store B,96
2024-03-25,Cereal,Store B,99
2024-03-26,Cereal,Store B,96
2024-03-27,Cereal,Store B,88
2024-03-28,Cereal,Store B,97
2024-03-29,Cereal,Store B,89
2024-03-30,Cereal,Store B,90
2024-03-31,Cereal,Store B,92
2024-04-01,Cereal,Store B,93
2024-04-02,Cereal,Store B,86
2024-04-03,Cereal,Store B,99
2024-04-04,Cereal,Store B,88
2024-04-05,Cereal,Store B,102
2024-04-06,Cereal,Store B,88
2024-04-07,Cereal,Store B,100
2024-04-08,Cereal,Store B,94
2024-04-09,Cereal,Store B,86
2024-04-10,Cereal,Store B,89
2024-04-11,Cereal,Store B,101
2024-04-12,Cereal,Store B,97
2024-04-13,Cereal,Store B,95
2024-04-14,Cereal,Store B,84
2024-04-15,Cereal,Store B,102
2024-04-16,Cereal,Store B,105
2024-04-17,Cereal,Store B,104
2024-04-18,Cereal,Store B,93
2024-04-19,Cereal,Store B,98
2024-04-20,Cereal,Store B,99
2024-04-21,Cereal,Store B,89
2024-04-22,Cereal,Store B,98
2024-04-23,Cereal,Store B,103
2024-04-24,Cereal,Store B,101
2024-04-25,Cereal,Store B,92
2024-04-26,Cereal,Store B,94
2024-04-27,Cereal,Store B,102
2024-04-28,Cereal,Store B,102
2024-04-29,Cereal,Store B,87
2024-04-30,Cereal,Store B,87
2024-05-01,Cereal,Store B,99
2024-05-02,Cereal,Store B,97
2024-05-03,Cereal,Store B,98
2024-05-04,Cereal,Store B,98
2024-05-05,Cereal,Store B,105
2024-05-06,Cereal,Store B,101
2024-05-07,Cereal,Store B,102
2024-05-08,Cereal,Store B,94
2024-05-09,Cereal,Store B,85
2024-05-10,Cereal,Store B,107
2024-05-11,Cereal,Store B,113
2024-05-12,Cereal,Store B,100
2024-05-13,Cereal,Store B,103
2024-05-14,Cereal,Store B,104
2024-05-15,Cereal,Store B,111
2024-05-16,Cereal,Store B,107
2024-05-17,Cereal,Store B,105
2024-05-18,Cereal,Store B,103
2024-05-19,Cereal,Store B,104
2024-05-20,Cereal,Store B,96
2024-05-21,Cereal,Store B,102
2024-05-22,Cereal,Store B,108
2024-05-23,Cereal,Store B,103
2024-05-24,Cereal,Store B,104
2024-05-25,Cereal,Store B,98
2024-05-26,Cereal,Store B,106
2024-05-27,Cereal,Store B,97
2024-05-28,Cereal,Store B,106
2024-05-29,Cereal,Store B,103
2024-05-30,Cereal,Store B,95
2024-05-31,Cereal,Store B,109
2024-06-01,Cereal,Store B,103
2024-06-02,Cereal,Store B,113
2024-06-03,Cereal,Store B,111
2024-06-04,Cereal,Store B,99
2024-06-05,Cereal,Store B,100
2024-06-06,Cereal,Store B,98
2024-06-07,Cereal,Store B,96
2024-06-08,Cereal,Store B,101
2024-06-09,Cereal,Store B,111
2024-06-10,Cereal,Store B,94
2024-06-11,Cereal,Store B,107
2024-06-12,Cereal,Store B,107
2024-06-13,Cereal,Store B,106
2024-06-14,Cereal,Store B,106
2024-06-15,Cereal,Store B,97
2024-06-16,Cereal,Store B,106
2024-06-17,Cereal,Store B,99
2024-06-18,Cereal,Store B,89
2024-06-19,Cereal,Store B,102
2024-06-20,Cereal,Store B,97
2024-06-21,Cereal,Store B,108
2024-06-22,Cereal,Store B,99
2024-06-23,Cereal,Store B,101
2024-06-24,Cereal,Store B,102
2024-06-25,Cereal,Store B,99
2024-06-26,Cereal,Store B,99
2024-06-27,Cereal,Store B,104
2024-06-28,Cereal,Store B,94
2024-01-01,Cereal,Store C,95
2024-01-02,Cereal,Store C,107
2024-01-03,Cereal,Store C,103
2024-01-04,Cereal,Store C,107
2024-01-05,Cereal,Store C,97
2024-01-06,Cereal,Store C,103
2024-01-07,Cereal,Store C,91
2024-01-08,Cereal,Store C,102
2024-01-09,Cereal,Store C,98
2024-01-10,Cereal,Store C,92
2024-01-11,Cereal,Store C,104
2024-01-12,Cereal,Store C,90
2024-01-13,Cereal,Store C,90
2024-01-14,Cereal,Store C,102
2024-01-15,Cereal,Store C,103
2024-01-16,Cereal,Store C,105
2024-01-17,Cereal,Store C,104
2024-01-18,Cereal,Store C,108
2024-01-19,Cereal,Store C,104
2024-01-20,Cereal,Store C,100
2024-01-21,Cereal,Store C,100
2024-01-22,Cereal,Store C,99
2024-01-23,Cereal,Store C,102
2024-01-24,Cereal,Store C,95
2024-01-25,Cereal,Store C,103
2024-01-26,Cereal,Store C,101
2024-01-27,Cereal,Store C,102
2024-01-28,Cereal,Store C,102
2024-01-29,Cereal,Store C,89
2024-01-30,Cereal,Store C,97
2024-01-31,Cereal,Store C,100
2024-02-01,Cereal,Store C,101
2024-02-02,Cereal,Store C,102
2024-02-03,Cereal,Store C,102
2024-02-04,Cereal,Store C,108
2024-02-05,Cereal,Store C,102
2024-02-06,Cereal,Store C,99
2024-02-07,Cereal,Store C,92
2024-02-08,Cereal,Store C,93
2024-02-09,Cereal,Store C,103
2024-02-10,Cereal,Store C,105
2024-02-11,Cereal,Store C,107
2024-02-12,Cereal,Store C,95
2024-02-13,Cereal,Store C,98
2024-02-14,Cereal,Store C,100
2024-02-15,Cereal,Store C,109
2024-02-16,Cereal,Store C,99
2024-02-17,Cereal,Store C,106
2024-02-18,Cereal,Store C,99
2024-02-19,Cereal,Store C,104
2024-02-20,Cereal,Store C,103
2024-02-21,Cereal,Store C,98
2024-02-22,Cereal,Store C,92
2024-02-23,Cereal,Store C,96
2024-02-24,Cereal,Store C,104
2024-02-25,Cereal,Store C,101
2024-02-26,Cereal,Store C,94
2024-02-27,Cereal,Store C,94
2024-02-28,Cereal,Store C,87
2024-02-29,Cereal,Store C,102
2024-03-01,Cereal,Store C,99
2024-03-02,Cereal,Store C,94
2024-03-03,Cereal,Store C,95
2024-03-04,Cereal,Store C,83
2024-03-05,Cereal,Store C,91
2024-03-06,Cereal,Store C,100
2024-03-07,Cereal,Store C,98
2024-03-08,Cereal,Store C,95
2024-03-09,Cereal,Store C,93
2024-03-10,Cereal,Store C,96
2024-03-11,Cereal,Store C,91
2024-03-12,Cereal,Store C,83
2024-03-13,Cereal,Store C,92
2024-03-14,Cereal,Store C,93
2024-03-15,Cereal,Store C,97
2024-03-16,Cereal,Store C,84
2024-03-17,Cereal,Store C,90
2024-03-18,Cereal,Store C,90
2024-03-19,Cereal,Store C,85
2024-03-20,Cereal,Store C,93
2024-03-21,Cereal,Store C,94
2024-03-22,Cereal,Store C,88
2024-03-23,Cereal,Store C,100
2024-03-24,Cereal,Store C,88
2024-03-25,Cereal,Store C,87
2024-03-26,Cereal,Store C,87
2024-03-27,Cereal,Store C,85
2024-03-28,Cereal,Store C,86
2024-03-29,Cereal,Store C,82
2024-03-30,Cereal,Store C,88
2024-03-31,Cereal,Store C,89
2024-04-01,Cereal,Store C,78
2024-04-02,Cereal,Store C,88
2024-04-03,Cereal,Store C,89
2024-04-04,Cereal,Store C,92
2024-04-05,Cereal,Store C,95
2024-04-06,Cereal,Store C,93
2024-04-07,Cereal,Store C,86
2024-04-08,Cereal,Store C,86
2024-04-09,Cereal,Store C,92
2024-04-10,Cereal,Store C,87
2024-04-11,Cereal,Store C,83
2024-04-12,Cereal,Store C,102
2024-04-13,Cereal,Store C,88
2024-04-14,Cereal,Store C,87
2024-04-15,Cereal,Store C,79
2024-04-16,Cereal,Store C,94
2024-04-17,Cereal,Store C,85
2024-04-18,Cereal,Store C,91
2024-04-19,Cereal,Store C,96
2024-04-20,Cereal,Store C,86
2024-04-21,Cereal,Store C,92
2024-04-22,Cereal,Store C,99
2024-04-23,Cereal,Store C,79
2024-04-24,Cereal,Store C,88
2024-04-25,Cereal,Store C,88
2024-04-26,Cereal,Store C,91
2024-04-27,Cereal,Store C,92
2024-04-28,Cereal,Store C,87
2024-04-29,Cereal,Store C,90
2024-04-30,Cereal,Store C,89
2024-05-01,Cereal,Store C,92
2024-05-02,Cereal,Store C,95
2024-05-03,Cereal,Store C,98
2024-05-04,Cereal,Store C,99
2024-05-05,Cereal,Store C,98
2024-05-06,Cereal,Store C,90
2024-05-07,Cereal,Store C,95
2024-05-08,Cereal,Store C,107
2024-05-09,Cereal,Store C,100
2024-05-10,Cereal,Store C,93
2024-05-11,Cereal,Store C,103
2024-05-12,Cereal,Store C,94
2024-05-13,Cereal,Store C,93
2024-05-14,Cereal,Store C,103
2024-05-15,Cereal,Store C,90
2024-05-16,Cereal,Store C,87
2024-05-17,Cereal,Store C,101
2024-05-18,Cereal,Store C,97
2024-05-19,Cereal,Store C,97
2024-05-20,Cereal,Store C,95
2024-05-21,Cereal,Store C,96
2024-05-22,Cereal,Store C,95
2024-05-23,Cereal,Store C,94
2024-05-24,Cereal,Store C,95
2024-05-25,Cereal,Store C,95
2024-05-26,Cereal,Store C,93
2024-05-27,Cereal,Store C,94
2024-05-28,Cereal,Store C,85
2024-05-29,Cereal,Store C,100
2024-05-30,Cereal,Store C,99
2024-05-31,Cereal,Store C,97
2024-06-01,Cereal,Store C,98
2024-06-02,Cereal,Store C,98
2024-06-03,Cereal,Store C,93
2024-06-04,Cereal,Store C,94
2024-06-05,Cereal,Store C,99
2024-06-06,Cereal,Store C,97
2024-06-07,Cereal,Store C,106
2024-06-08,Cereal,Store C,104
2024-06-09,Cereal,Store C,101
2024-06-10,Cereal,Store C,92
2024-06-11,Cereal,Store C,93
2024-06-12,Cereal,Store C,90
2024-06-13,Cereal,Store C,96
2024-06-14,Cereal,Store C,81
2024-06-15,Cereal,Store C,92
2024-06-16,Cereal,Store C,93
2024-06-17,Cereal,Store C,87
2024-06-18,Cereal,Store C,98
2024-06-19,Cereal,Store C,88
2024-06-20,Cereal,Store C,95
2024-06-21,Cereal,Store C,107
2024-06-22,Cereal,Store C,85
2024-06-23,Cereal,Store C,92
2024-06-24,Cereal,Store C,90
2024-06-25,Cereal,Store C,89
2024-06-26,Cereal,Store C,95
2024-06-27,Cereal,Store C,97
2024-06-28,Cereal,Store C,95
2024-01-01,Soap,Store A,81
2024-01-02,Soap,Store A,85
2024-01-03,Soap,Store A,92
2024-01-04,Soap,Store A,92
2024-01-05,Soap,Store A,95
2024-01-06,Soap,Store A,100
2024-01-07,Soap,Store A,92
2024-01-08,Soap,Store A,94
2024-01-09,Soap,Store A,91
2024-01-10,Soap,Store A,97
2024-01-11,Soap,Store A,93
2024-01-12,Soap,Store A,94
2024-01-13,Soap,Store A,99
2024-01-14,Soap,Store A,101
2024-01-15,Soap,Store A,86
2024-01-16,Soap,Store A,99
2024-01-17,Soap,Store A,96
2024-01-18,Soap,Store A,102
2024-01-19,Soap,Store A,97
2024-01-20,Soap,Store A,105
2024-01-21,Soap,Store A,95
2024-01-22,Soap,Store A,88
2024-01-23,Soap,Store A,104
2024-01-24,Soap,Store A,95
2024-01-25,Soap,Store A,92
2024-01-26,Soap,Store A,100
2024-01-27,Soap,Store A,99
2024-01-28,Soap,Store A,104
2024-01-29,Soap,Store A,104
2024-01-30,Soap,Store A,100
2024-01-31,Soap,Store A,95
2024-02-01,Soap,Store A,101
2024-02-02,Soap,Store A,101
2024-02-03,Soap,Store A,103
2024-02-04,Soap,Store A,95
2024-02-05,Soap,Store A,98
2024-02-06,Soap,Store A,102
2024-02-07,Soap,Store A,105
2024-02-08,Soap,Store A,104
2024-02-09,Soap,Store A,99
2024-02-10,Soap,Store A,96
2024-02-11,Soap,Store A,100
2024-02-12,Soap,Store A,92
2024-02-13,Soap,Store A,93
2024-02-14,Soap,Store A,105
2024-02-15,Soap,Store A,99
2024-02-16,Soap,Store A,95
2024-02-17,Soap,Store A,100
2024-02-18,Soap,Store A,102
2024-02-19,Soap,Store A,93
2024-02-20,Soap,Store A,93
2024-02-21,Soap,Store A,92
2024-02-22,Soap,Store A,99
2024-02-23,Soap,Store A,98
2024-02-24,Soap,Store A,100
2024-02-25,Soap,Store A,97
2024-02-26,Soap,Store A,84
2024-02-27,Soap,Store A,93
2024-02-28,Soap,Store A,85
2024-02-29,Soap,Store A,88
2024-03-01,Soap,Store A,91
2024-03-02,Soap,Store A,93
2024-03-03,Soap,Store A,84
2024-03-04,Soap,Store A,76
2024-03-05,Soap,Store A,88
2024-03-06,Soap,Store A,100
2024-03-07,Soap,Store A,86
2024-03-08,Soap,Store A,86
2024-03-09,Soap,Store A,94
2024-03-10,Soap,Store A,88
2024-03-11,Soap,Store A,86
2024-03-12,Soap,Store A,86
2024-03-13,Soap,Store A,85
2024-03-14,Soap,Store A,78
2024-03-15,Soap,Store A,76
2024-03-16,Soap,Store A,92
2024-03-17,Soap,Store A,83
2024-03-18,Soap,Store A,82
2024-03-19,Soap,Store A,81
2024-03-20,Soap,Store A,85
2024-03-21,Soap,Store A,94
2024-03-22,Soap,Store A,83
2024-03-23,Soap,Store A,78
2024-03-24,Soap,Store A,80
2024-03-25,Soap,Store A,86
2024-03-26,Soap,Store A,77
2024-03-27,Soap,Store A,84
2024-03-28,Soap,Store A,68
2024-03-29,Soap,Store A,79
2024-03-30,Soap,Store A,83
2024-03-31,Soap,Store A,86
2024-04-01,Soap,Store A,76
2024-04-02,Soap,Store A,72
2024-04-03,Soap,Store A,79
2024-04-04,Soap,Store A,74
2024-04-05,Soap,Store A,79
2024-04-06,Soap,Store A,80
2024-04-07,Soap,Store A,74
2024-04-08,Soap,Store A,85
2024-04-09,Soap,Store A,80
2024-04-10,Soap,Store A,87
2024-04-11,Soap,Store A,72
2024-04-12,Soap,Store A,77
2024-04-13,Soap,Store A,85
2024-04-14,Soap,Store A,79
2024-04-15,Soap,Store A,82
2024-04-16,Soap,Store A,83
2024-04-17,Soap,Store A,84
2024-04-18,Soap,Store A,81
2024-04-19,Soap,Store A,85
2024-04-20,Soap,Store A,81
2024-04-21,Soap,Store A,89
2024-04-22,Soap,Store A,85
2024-04-23,Soap,Store A,87
2024-04-24,Soap,Store A,100
2024-04-25,Soap,Store A,82
2024-04-26,Soap,Store A,95
2024-04-27,Soap,Store A,75
2024-04-28,Soap,Store A,79
2024-04-29,Soap,Store A,83
2024-04-30,Soap,Store A,84
2024-05-01,Soap,Store A,92
2024-05-02,Soap,Store A,93
2024-05-03,Soap,Store A,90
2024-05-04,Soap,Store A,91
2024-05-05,Soap,Store A,95
2024-05-06,Soap,Store A,97
2024-05-07,Soap,Store A,87
2024-05-08,Soap,Store A,92
2024-05-09,Soap,Store A,94
2024-05-10,Soap,Store A,97
2024-05-11,Soap,Store A,92
2024-05-12,Soap,Store A,95
2024-05-13,Soap,Store A,96
2024-05-14,Soap,Store A,93
2024-05-15,Soap,Store A,93
2024-05-16,Soap,Store A,98
2024-05-17,Soap,Store A,97
2024-05-18,Soap,Store A,100
2024-05-19,Soap,Store A,93
2024-05-20,Soap,Store A,97
2024-05-21,Soap,Store A,98
2024-05-22,Soap,Store A,103
2024-05-23,Soap,Store A,94
2024-05-24,Soap,Store A,100
2024-05-25,Soap,Store A,101
2024-05-26,Soap,Store A,108
2024-05-27,Soap,Store A,95
2024-05-28,Soap,Store A,96
2024-05-29,Soap,Store A,95
2024-05-30,Soap,Store A,91
2024-05-31,Soap,Store A,108
2024-06-01,Soap,Store A,93
2024-06-02,Soap,Store A,95
2024-06-03,Soap,Store A,106
2024-06-04,Soap,Store A,90
2024-06-05,Soap,Store A,103
2024-06-06,Soap,Store A,92
2024-06-07,Soap,Store A,105
2024-06-08,Soap,Store A,87
2024-06-09,Soap,Store A,89
2024-06-10,Soap,Store A,95
2024-06-11,Soap,Store A,102
2024-06-12,Soap,Store A,97
2024-06-13,Soap,Store A,95
2024-06-14,Soap,Store A,103
2024-06-15,Soap,Store A,107
2024-06-16,Soap,Store A,99
2024-06-17,Soap,Store A,92
2024-06-18,Soap,Store A,92
2024-06-19,Soap,Store A,88
2024-06-20,Soap,Store A,94
2024-06-21,Soap,Store A,85
2024-06-22,Soap,Store A,95
2024-06-23,Soap,Store A,102
2024-06-24,Soap,Store A,95
2024-06-25,Soap,Store A,89
2024-06-26,Soap,Store A,93
2024-06-27,Soap,Store A,98
2024-06-28,Soap,Store A,97
2024-01-01,Soap,Store B,77
2024-01-02,Soap,Store B,80
2024-01-03,Soap,Store B,83
2024-01-04,Soap,Store B,87
2024-01-05,Soap,Store B,90
2024-01-06,Soap,Store B,84
2024-01-07,Soap,Store B,89
2024-01-08,Soap,Store B,84
2024-01-09,Soap,Store B,85
2024-01-10,Soap,Store B,81
2024-01-11,Soap,Store B,84
2024-01-12,Soap,Store B,82
2024-01-13,Soap,Store B,84
2024-01-14,Soap,Store B,95
2024-01-15,Soap,Store B,85
2024-01-16,Soap,Store B,103
2024-01-17,Soap,Store B,92
2024-01-18,Soap,Store B,91
2024-01-19,Soap,Store B,86
2024-01-20,Soap,Store B,94
2024-01-21,Soap,Store B,88
2024-01-22,Soap,Store B,91
2024-01-23,Soap,Store B,104
2024-01-24,Soap,Store B,90
2024-01-25,Soap,Store B,97
2024-01-26,Soap,Store B,88
2024-01-27,Soap,Store B,91
2024-01-28,Soap,Store B,100
2024-01-29,Soap,Store B,88
2024-01-30,Soap,Store B,100
2024-01-31,Soap,Store B,95
2024-02-01,Soap,Store B,88
2024-02-02,Soap,Store B,94
2024-02-03,Soap,Store B,96
2024-02-04,Soap,Store B,94
2024-02-05,Soap,Store B,83
2024-02-06,Soap,Store B,87
2024-02-07,Soap,Store B,90
2024-02-08,Soap,Store B,90
2024-02-09,Soap,Store B,94
2024-02-10,Soap,Store B,91
2024-02-11,Soap,Store B,84
2024-02-12,Soap,Store B,92
2024-02-13,Soap,Store B,93
2024-02-14,Soap,Store B,93
2024-02-15,Soap,Store B,95
2024-02-16,Soap,Store B,94
2024-02-17,Soap,Store B,92
2024-02-18,Soap,Store B,89
2024-02-19,Soap,Store B,81
2024-02-20,Soap,Store B,91
2024-02-21,Soap,Store B,90
2024-02-22,Soap,Store B,90
2024-02-23,Soap,Store B,82
2024-02-24,Soap,Store B,82
2024-02-25,Soap,Store B,93
2024-02-26,Soap,Store B,87
2024-02-27,Soap,Store B,91
2024-02-28,Soap,Store B,87
2024-02-29,Soap,Store B,87
2024-03-01,Soap,Store B,91
2024-03-02,Soap,Store B,84
2024-03-03,Soap,Store B,86
2024-03-04,Soap,Store B,83
2024-03-05,Soap,Store B,83
2024-03-06,Soap,Store B,84
2024-03-07,Soap,Store B,86
2024-03-08,Soap,Store B,82
2024-03-09,Soap,Store B,91
